NM_001010975.1	Ant	ADP/ATP translocase
XM_016912536.1	LOC412887	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XM_016912537.1	LOC412887	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XM_016912538.1	LOC725606	serine protease gd
XM_016912539.1	LOC412887	A disintegrin and metalloproteinase with thrombospondin motifs 7-like
XM_016912540.1	LOC724391	A disintegrin and metalloproteinase with thrombospondin motifs 7
XM_016912541.1	LOC725405	DNA repair endonuclease XPF
XM_016912542.1	LOC725405	DNA repair endonuclease XPF
XM_016912543.1	LOC725682	uncharacterized LOC725682
XM_016912544.1	LOC100577712	uncharacterized LOC100577712
XM_016912545.1	LOC107964546	uncharacterized LOC107964546
XM_016912546.1	LOC107964546	uncharacterized LOC107964546
XM_016912547.1	LOC107964546	uncharacterized LOC107964546
XM_016912548.1	LOC107964546	uncharacterized LOC107964546
XM_016912549.1	LOC107964546	uncharacterized LOC107964546
XM_016912550.1	LOC409452	maltase A2-like
XM_016912551.1	LOC409452	maltase A2-like
XM_016912552.1	LOC411175	protein groucho-1-like
XM_016912553.1	LOC725945	zinc finger protein 555-like
XM_016912554.1	LOC725945	zinc finger protein 555-like
XM_016912555.1	LOC408889	large proline-rich protein BAG6
XM_016912556.1	LOC724929	serine/threonine-protein kinase tricorner
XM_016912557.1	LOC411144	transcription initiation factor TFIID subunit 11
XM_016912558.1	LOC551398	DNA polymerase delta catalytic subunit
XM_016912559.1	LOC102655130	leukocyte surface antigen CD53-like
XM_016912560.1	LOC102655693	uncharacterized LOC102655693
XM_016912561.1	LOC107964558	uncharacterized LOC107964558
XM_016912562.1	LOC107964558	uncharacterized LOC107964558
XM_016912563.1	LOC107964558	uncharacterized LOC107964558
XM_016912564.1	LOC725770	phosphatidylinositol 3-kinase catalytic subunit type 3
XM_016912565.1	LOC725524	uncharacterized protein DDB_G0283697
XM_016912566.1	LOC725524	uncharacterized protein DDB_G0283697
XM_016912567.1	LOC725524	uncharacterized protein DDB_G0283697
XM_016912568.1	LOC725673	ribonucleoside-diphosphate reductase large subunit
XM_016912569.1	LOC408877	neurogenic protein mastermind
XM_016912570.1	LOC408877	neurogenic protein mastermind
XM_016912571.1	LOC408877	neurogenic protein mastermind
XM_016912572.1	LOC102656653	uncharacterized LOC102656653
XM_016912573.1	LOC410005	beta-1,4-glucuronyltransferase 1
XM_016912574.1	LOC102656504	ethanolamine kinase 1
XM_016912575.1	LOC724259	trypsin-7
XM_016912576.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912577.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912578.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912579.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912580.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912581.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912582.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912583.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912584.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912585.1	LOC411157	fat-like cadherin-related tumor suppressor homolog
XM_016912586.1	LOC409425	hemocyte protein-glutamine gamma-glutamyltransferase-like
XM_016912587.1	LOC409425	hemocyte protein-glutamine gamma-glutamyltransferase-like
XM_016912588.1	LOC409425	hemocyte protein-glutamine gamma-glutamyltransferase-like
XM_016912589.1	LOC725630	tubulin-specific chaperone A-like
XM_016912590.1	LOC107964572	uncharacterized LOC107964572
XM_016912591.1	LOC724389	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A
XM_016912592.1	LOC724389	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A
XM_016912593.1	LOC724389	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A
XM_016912594.1	LOC724389	calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A
XM_016912595.1	CSP6	chemosensory protein 6
XM_016912596.1	LOC413473	GTPase-activating Rap/Ran-GAP domain-like protein 3
XM_016912597.1	LOC413473	GTPase-activating Rap/Ran-GAP domain-like protein 3
XM_016912598.1	LOC413473	GTPase-activating Rap/Ran-GAP domain-like protein 3
XM_016912599.1	LOC551617	uncharacterized LOC551617
XM_016912600.1	LOC551617	uncharacterized LOC551617
XM_016912601.1	LOC551617	uncharacterized LOC551617
XM_016912602.1	LOC413159	potassium channel subfamily T member 2
XM_016912603.1	LOC100577020	uncharacterized LOC100577020
XM_016912604.1	LOC100576126	uncharacterized LOC100576126
XM_016912605.1	LOC100576126	uncharacterized LOC100576126
XM_016912606.1	LOC552244	probable pathogenesis-related protein CaO19.6200
XM_016912607.1	LOC725593	dynein heavy chain 7, axonemal-like
XM_016912608.1	LOC411141	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial
XM_016912609.1	LOC107964579	dynein heavy chain 7, axonemal-like
XM_016912610.1	LOC107964580	dynein heavy chain 12, axonemal-like
XM_016912611.1	LOC725436	dmX-like protein 2
XM_016912612.1	LOC724859	myosin 9
XM_016912613.1	LOC724859	myosin 9
XM_016912614.1	LOC724859	myosin 9
XM_016912615.1	LOC724859	myosin 9
XM_016912616.1	LOC724859	myosin 9
XM_016912617.1	LOC102656647	uncharacterized LOC102656647
XM_016912618.1	LOC102656629	uncharacterized LOC102656629
XM_016912619.1	LOC102656629	uncharacterized LOC102656629
XM_016912620.1	LOC102656629	uncharacterized LOC102656629
XM_016912621.1	LOC102656629	uncharacterized LOC102656629
XM_016912622.1	LOC551222	syntaxin-12
XM_016912623.1	LOC411173	torso-like protein
XM_016912624.1	LOC107964586	uncharacterized LOC107964586
XM_016912625.1	LOC107964586	uncharacterized LOC107964586
XM_016912626.1	LOC100576172	uncharacterized LOC100576172
XM_016912627.1	LOC100576547	glucose dehydrogenase [FAD, quinone]-like
XM_016912628.1	LOC408894	transducin-like enhancer protein 4
XM_016912629.1	LOC408894	transducin-like enhancer protein 4
XM_016912630.1	LOC413785	FK506-binding protein 2
XM_016912631.1	LOC107964589	microtubule-associated protein futsch-like
XM_016912632.1	LOC107964589	microtubule-associated protein futsch-like
XM_016912633.1	LOC409786	jazigo
XM_016912634.1	LOC409786	jazigo
XM_016912635.1	LOC409786	jazigo
XM_016912636.1	LOC409786	jazigo
XM_016912637.1	LOC100576547	glucose dehydrogenase [FAD, quinone]-like
XM_016912638.1	LOC725570	tumor necrosis factor alpha-induced protein 8-like protein
XM_016912639.1	LOC725570	tumor necrosis factor alpha-induced protein 8-like protein
XM_016912640.1	LOC100576547	glucose dehydrogenase [FAD, quinone]-like
XM_016912641.1	LOC725570	tumor necrosis factor alpha-induced protein 8-like protein
XM_016912642.1	LOC725570	tumor necrosis factor alpha-induced protein 8-like protein
XM_016912643.1	LOC107964590	uncharacterized LOC107964590
XM_016912644.1	LOC100576547	glucose dehydrogenase [FAD, quinone]-like
XM_016912645.1	LOC725800	fibrillin-2
XM_016912646.1	LOC725800	fibrillin-2
XM_016912647.1	LOC725800	fibrillin-2
XM_016912648.1	LOC725964	uncharacterized LOC725964
XM_016912649.1	LOC725964	uncharacterized LOC725964
XM_016912650.1	LOC725964	uncharacterized LOC725964
XM_016912651.1	LOC725964	uncharacterized LOC725964
XM_016912652.1	LOC725964	uncharacterized LOC725964
XM_016912653.1	LOC408884	transcription factor SOX-5
XM_016912654.1	LOC408884	transcription factor SOX-5
XM_016912655.1	LOC408884	transcription factor SOX-5
XM_016912656.1	LOC408884	transcription factor SOX-5
XM_016912657.1	LOC408884	transcription factor SOX-5
XM_016912658.1	LOC409708	glucosylceramidase-like
XM_016912659.1	LOC409708	glucosylceramidase-like
XM_016912660.1	LOC107964594	uncharacterized LOC107964594
XM_016912661.1	LOC408896	semaphorin-2A
XM_016912662.1	LOC408896	semaphorin-2A
XM_016912663.1	LOC408896	semaphorin-2A
XM_016912664.1	LOC408896	semaphorin-2A
XM_016912665.1	LOC409053	protein PF14_0175-like
XM_016912666.1	LOC408887	ankyrin repeat and SAM domain-containing protein 1A-like
XM_016912667.1	LOC409053	protein PF14_0175-like
XM_016912668.1	LOC409053	protein PF14_0175-like
XM_016912669.1	LOC107964600	WASH complex subunit FAM21 homolog
XM_016912670.1	LOC409053	protein PF14_0175-like
XM_016912671.1	LOC100577669	uncharacterized LOC100577669
XM_016912672.1	LOC409053	protein PF14_0175-like
XM_016912673.1	LOC409897	probable multidrug resistance-associated protein lethal(2)03659
XM_016912674.1	LOC409899	putative sodium-dependent multivitamin transporter
XM_016912675.1	LOC409899	putative sodium-dependent multivitamin transporter
XM_016912676.1	LOC409899	putative sodium-dependent multivitamin transporter
XM_016912677.1	LOC107964602	uncharacterized LOC107964602
XM_016912678.1	LOC100577928	SLIT-ROBO Rho GTPase-activating protein 1-like
XM_016912679.1	LOC410136	E3 ubiquitin-protein ligase RNF123-like
XM_016912680.1	LOC411158	leucine-rich repeat-containing protein 24
XM_016912681.1	LOC411158	leucine-rich repeat-containing protein 24
XM_016912682.1	LOC107964605	uncharacterized LOC107964605
XM_016912683.1	LOC724442	dentin sialophosphoprotein-like
XM_016912684.1	LOC102655391	dihydrolipoyl dehydrogenase, mitochondrial-like
XM_016912685.1	LOC102654032	uncharacterized LOC102654032
XM_016912686.1	LOC550930	TGF-beta receptor type-1
XM_016912687.1	LOC724311	AT-rich interactive domain-containing protein 2
XM_016912688.1	LOC724311	AT-rich interactive domain-containing protein 2
XM_016912689.1	LOC724311	AT-rich interactive domain-containing protein 2
XM_016912690.1	LOC724311	AT-rich interactive domain-containing protein 2
XM_016912691.1	LOC100576719	testis-specific gene 10 protein-like
XM_016912692.1	LOC100576719	testis-specific gene 10 protein-like
XM_016912693.1	LOC413005	protein NDRG3
XM_016912694.1	LOC413005	protein NDRG3
XM_016912695.1	LOC551556	dentin sialophosphoprotein-like
XM_016912696.1	LOC413005	protein NDRG3
XM_016912697.1	LOC413005	protein NDRG3
XM_016912698.1	LOC551556	dentin sialophosphoprotein-like
XM_016912699.1	LOC724517	la-related protein 1B
XM_016912700.1	LOC411408	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
XM_016912701.1	LOC413073	JNK-interacting protein 3
XM_016912702.1	LOC413073	JNK-interacting protein 3
XM_016912703.1	LOC413073	JNK-interacting protein 3
XM_016912704.1	LOC413073	JNK-interacting protein 3
XM_016912705.1	LOC413073	JNK-interacting protein 3
XM_016912706.1	LOC413073	JNK-interacting protein 3
XM_016912707.1	LOC413073	JNK-interacting protein 3
XM_016912708.1	LOC413073	JNK-interacting protein 3
XM_016912709.1	LOC413328	phospholipid-transporting ATPase ID
XM_016912710.1	LOC413328	phospholipid-transporting ATPase ID
XM_016912711.1	LOC413328	phospholipid-transporting ATPase ID
XM_016912712.1	LOC413328	phospholipid-transporting ATPase ID
XM_016912713.1	LOC413328	phospholipid-transporting ATPase ID
XM_016912714.1	Sergef	secretion regulating guanine nucleotide exchange factor
XM_016912715.1	LOC413328	phospholipid-transporting ATPase ID
XM_016912716.1	LOC412339	cyclin-dependent kinase 7
XM_016912717.1	LOC102655229	uncharacterized LOC102655229
XM_016912718.1	LOC409291	protein fem-1 homolog CG6966
XM_016912719.1	LOC411969	heterogeneous nuclear ribonucleoprotein M
XM_016912720.1	LOC409928	RNA polymerase II elongation factor Ell
XM_016912721.1	LOC100576116	protein inscuteable homolog
XM_016912722.1	LOC107964616	uncharacterized LOC107964616
XM_016912723.1	LOC724982	MIT domain-containing protein 1
XM_016912724.1	LOC725130	uncharacterized LOC725130
XM_016912725.1	LOC725258	very-long-chain 3-oxoacyl-CoA reductase-like
XM_016912726.1	LOC411864	chaoptin
XM_016912727.1	LOC410159	mediator of RNA polymerase II transcription subunit 13
XM_016912728.1	LOC410054	ubiquilin-1
XM_016912729.1	LOC409459	lon protease homolog, mitochondrial
XM_016912730.1	LOC551460	homeobox protein cut
XM_016912731.1	LOC551460	homeobox protein cut
XM_016912732.1	LOC551460	homeobox protein cut
XM_016912733.1	LOC551460	homeobox protein cut
XM_016912734.1	LOC551460	homeobox protein cut
XM_016912735.1	LOC551460	homeobox protein cut
XM_016912736.1	LOC551460	homeobox protein cut
XM_016912737.1	LOC551460	homeobox protein cut
XM_016912738.1	LOC552008	protein ABHD18
XM_016912739.1	LOC100577168	uncharacterized LOC100577168
XM_016912740.1	LOC100576703	sarcalumenin
XM_016912741.1	LOC411171	putative protein FAM10A4
XM_016912742.1	LOC107964617	ARS-binding factor 1-like
XM_016912743.1	LOC413076	ecdysone-induced protein 78C
XM_016912744.1	LOC412279	uncharacterized LOC412279
XM_016912745.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912746.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912747.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912748.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912749.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912750.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912751.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912752.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912753.1	LOC551973	cleavage and polyadenylation specificity factor subunit CG7185
XM_016912754.1	LOC100576568	uncharacterized LOC100576568
XM_016912755.1	LOC100576568	uncharacterized LOC100576568
XM_016912756.1	LOC724860	probable cytochrome P450 301a1, mitochondrial
XM_016912757.1	LOC724860	probable cytochrome P450 301a1, mitochondrial
XM_016912758.1	LOC725706	putative mediator of RNA polymerase II transcription subunit 26
XM_016912759.1	LOC725706	putative mediator of RNA polymerase II transcription subunit 26
XM_016912760.1	LOC725706	putative mediator of RNA polymerase II transcription subunit 26
XM_016912761.1	LOC725706	putative mediator of RNA polymerase II transcription subunit 26
XM_016912762.1	LOC725706	putative mediator of RNA polymerase II transcription subunit 26
XM_016912763.1	LOC725706	putative mediator of RNA polymerase II transcription subunit 26
XM_016912764.1	LOC411670	LON peptidase N-terminal domain and RING finger protein 1-like
XM_016912765.1	LOC411673	dystrobrevin beta
XM_016912766.1	LOC411673	dystrobrevin beta
XM_016912767.1	LOC411673	dystrobrevin beta
XM_016912768.1	LOC411673	dystrobrevin beta
XM_016912769.1	LOC411673	dystrobrevin beta
XM_016912770.1	LOC411673	dystrobrevin beta
XM_016912771.1	LOC411673	dystrobrevin beta
XM_016912772.1	LOC411496	ATPase family AAA domain-containing protein 2-like
XM_016912773.1	LOC552285	innexin inx7
XM_016912774.1	LOC552285	innexin inx7
XM_016912775.1	LOC411637	rab3 GTPase-activating protein catalytic subunit
XM_016912776.1	LOC100578059	vasorin
XM_016912777.1	LOC100578059	vasorin
XM_016912778.1	LOC102655811	matrix metalloproteinase-24-like
XM_016912779.1	LOC726883	CD109 antigen
XM_016912780.1	LOC551803	homeotic protein spalt-major
XM_016912781.1	LOC551803	homeotic protein spalt-major
XM_016912782.1	LOC551803	homeotic protein spalt-major
XM_016912783.1	LOC551803	homeotic protein spalt-major
XM_016912784.1	LOC552589	fat-like cadherin-related tumor suppressor homolog
XM_016912785.1	LOC552589	fat-like cadherin-related tumor suppressor homolog
XM_016912786.1	LOC408876	MOB kinase activator-like 2
XM_016912787.1	LOC408876	MOB kinase activator-like 2
XM_016912788.1	LOC408876	MOB kinase activator-like 2
XM_016912789.1	LOC408876	MOB kinase activator-like 2
XM_016912790.1	LOC100576336	uncharacterized LOC100576336
XM_016912791.1	LOC551045	CCR4-NOT transcription complex subunit 7
XM_016912792.1	LOC413900	WD repeat-containing protein on Y chromosome
XM_016912793.1	LOC725761	uncharacterized abhydrolase domain-containing protein DDB_G0269086
XM_016912794.1	LOC552058	uncharacterized LOC552058
XM_016912795.1	LOC724747	otoferlin-like
XM_016912796.1	LOC724747	otoferlin-like
XM_016912797.1	LOC724747	otoferlin-like
XM_016912798.1	LOC107964633	uncharacterized LOC107964633
XM_016912799.1	LOC724655	transmembrane and TPR repeat-containing protein 3-like
XM_016912800.1	LOC724350	4-hydroxybenzoate polyprenyltransferase, mitochondrial
XM_016912801.1	LOC102653609	paramyosin, short form-like
XM_016912802.1	LOC411978	myrosinase 1-like
XM_016912803.1	LOC412823	gamma-tubulin complex component 2
XM_016912804.1	LOC551924	mucin-1
XM_016912805.1	LOC551924	mucin-1
XM_016912806.1	LOC551924	mucin-1
XM_016912807.1	LOC727108	rho GTPase-activating protein 26
XM_016912808.1	LOC410034	fatty acid-binding protein, adipocyte-like
XM_016912809.1	LOC100578161	apoptotic chromatin condensation inducer in the nucleus
XM_016912810.1	LOC107964637	uncharacterized LOC107964637
XM_016912811.1	cad	homeotic protein caudal
XM_016912812.1	LOC100577977	uncharacterized LOC100577977
XM_016912813.1	LOC551066	putative uncharacterized protein DDB_G0274405
XM_016912814.1	LOC100577977	uncharacterized LOC100577977
XM_016912815.1	LOC107964640	uncharacterized LOC107964640
XM_016912816.1	LOC552419	ras-like GTP-binding protein RhoL
XM_016912817.1	LOC552419	ras-like GTP-binding protein RhoL
XM_016912818.1	LOC552419	ras-like GTP-binding protein RhoL
XM_016912819.1	LOC551150	BRCA2-interacting transcriptional repressor EMSY
XM_016912820.1	LOC413040	probable G-protein coupled receptor 52
XM_016912821.1	LOC413040	probable G-protein coupled receptor 52
XM_016912822.1	LOC413040	probable G-protein coupled receptor 52
XM_016912823.1	LOC413040	probable G-protein coupled receptor 52
XM_016912824.1	LOC413040	probable G-protein coupled receptor 52
XM_016912825.1	LOC409271	mediator of RNA polymerase II transcription subunit 12
XM_016912826.1	LOC409271	mediator of RNA polymerase II transcription subunit 12
XM_016912827.1	LOC409271	mediator of RNA polymerase II transcription subunit 12
XM_016912828.1	LOC100579053	FK506-binding protein 15
XM_016912829.1	LOC100579053	FK506-binding protein 15
XM_016912830.1	LOC100579053	FK506-binding protein 15
XM_016912831.1	LOC100576233	titin-like
XM_016912832.1	LOC409986	peroxisomal multifunctional enzyme type 2-like
XM_016912833.1	LOC552362	protein lin-7 homolog C
XM_016912834.1	LOC724816	carboxypeptidase D
XM_016912835.1	LOC412131	kinesin 4B
XM_016912836.1	LOC107964648	S-formylglutathione hydrolase
